y,value,x,radius
29,9,2,10
29,5,25,10
6,38,3,8
6,6,6,8
6,7,7,8
6,7,8,8
6,22,13,8
6,13,21,8
6,15,23,8
6,6,25,8
6,14,27,8
6,14,33,8
4,4,3,7
4,5,8,7
4,5,10,7
4,3,13,7
4,3,23,7
18,18,3,6.5
18,9,7,6.5
18,24,8,6.5
18,9,9,6.5
18,7,10,6.5
18,6,14,6.5
18,5,31,6.5
18,14,34,6.5
28,5,10,5
28,3,13,5
28,7,19,5
28,3,25,5
28,4,28,5
28,2,32,5
23,5,3,4
23,4,6,4
23,12,7,4
23,2,9,4
23,8,10,4
23,4,17,4
23,4,21,4
23,3,22,4
23,6,25,4
23,5,27,4
23,10,30,4
23,7,33,4
12,6,3,3
12,3,7,3
12,9,8,3
12,8,10,3
12,3,15,3
12,4,34,3
45,10,8,2.9
45,5,10,2.9
45,4,19,2.9
45,2,23,2.9
45,2,25,2.9
18,18,3,2.5
18,9,7,2.5
18,24,8,2.5
18,9,9,2.5
18,7,10,2.5
18,6,14,2.5
18,5,31,2.5
18,14,34,2.5
37,4,1,2
37,9,5,2
37,5,6,2
37,6,7,2
37,9,11,2
37,3,14,2
37,3,25,2
37,4,35,2
7,2,2,1
7,33,3,1
44,32,4,1
7,6,7,1
7,20,8,1
7,5,9,1
7,13,10,1
7,16,13,1
44,6,13,1
7,2,14,1
44,20,14,1
7,4,15,1
44,20,15,1
7,11,21,1
7,5,23,1
44,7,23,1
44,16,24,1
7,2,25,1
44,5,27,1
7,3,28,1
44,6,28,1
7,8,32,1
7,6,33,1
44,5,33,1
7,7,34,1
44,6,34,1
